Date,Close/Last,Open,High,Low,RSI
2021-03-29,3971.09,3969.31,3981.83,3943.25,55.336024360881005
2021-03-30,3958.55,3963.34,3968.01,3944.35,63.00215318363575
2021-03-31,3972.89,3967.25,3994.41,3966.98,52.596632677258626
2021-04-01,4019.87,3992.78,4020.63,3992.78,60.685869364090536
2021-04-05,4077.91,4034.44,4083.42,4034.44,73.12045752412713
2021-04-06,4073.94,4075.57,4086.23,4068.14,79.99890374917774
2021-04-07,4079.95,4074.29,4083.13,4068.31,79.74578152753104
2021-04-08,4097.17,4089.95,4098.19,4082.54,72.26876768573477
2021-04-09,4128.8,4096.11,4129.48,4095.51,72.75106313379119
2021-04-12,4127.99,4124.71,4131.76,4114.82,74.11661743791689
2021-04-13,4141.59,4130.1,4148.0,4124.43,80.78781122259363
2021-04-14,4124.66,4143.25,4151.69,4120.87,71.02026928498513
2021-04-15,4170.42,4139.76,4173.49,4139.76,70.2791625124625
2021-04-16,4185.47,4174.14,4191.31,4170.75,59.8564938649004
2021-04-19,4163.26,4179.8,4180.81,4150.47,60.21125278794759
2021-04-20,4134.94,4159.18,4159.18,4118.38,51.45071886367569
2021-04-21,4173.42,4128.42,4175.02,4126.35,57.2394940462401
2021-04-22,4134.98,4170.46,4179.57,4123.69,52.39738634272043
2021-04-23,4180.17,4138.78,4194.17,4138.78,45.01206757843933
2021-04-26,4187.62,4185.03,4194.19,4182.36,37.14845938375357
2021-04-27,4186.72,4188.25,4193.35,4176.22,30.73408655923913
2021-04-28,4183.18,4185.14,4201.53,4181.78,31.170945522855206
2021-04-29,4211.47,4206.14,4218.78,4176.81,29.633186095640212
2021-04-30,4181.17,4198.1,4198.1,4174.85,30.04073319755568
2021-05-03,4192.66,4191.98,4209.39,4188.03,26.277665995975696
2021-05-04,4164.66,4179.04,4179.04,4128.59,30.69330199764964
2021-05-05,4167.59,4177.06,4187.72,4160.94,39.07444390882159
2021-05-06,4201.62,4169.14,4202.7,4147.33,53.663221439678175
2021-05-07,4232.6,4210.34,4238.04,4201.64,56.50008586639209
2021-05-10,4188.43,4228.29,4236.39,4188.13,74.1910331384018
2021-05-11,4152.1,4150.34,4162.04,4111.53,63.55967946014344
2021-05-12,4063.04,4130.55,4134.73,4056.88,75.38275340393346
2021-05-13,4112.5,4074.99,4131.58,4074.99,65.28483832084274
2021-05-14,4173.85,4129.58,4183.13,4129.58,64.07592202047209
2021-05-17,4163.29,4169.92,4171.92,4142.69,60.96436710171953
2021-05-18,4127.83,4165.94,4169.15,4125.99,66.36253998217184
2021-05-19,4115.68,4098.45,4116.93,4061.41,62.59836444993049
2021-05-20,4159.12,4121.97,4172.8,4121.97,65.61702127659578
2021-05-21,4155.86,4168.61,4188.72,4151.72,61.961904761904655
2021-05-24,4197.05,4170.16,4209.52,4170.16,61.8588067506536
2021-05-25,4188.13,4205.94,4213.42,4182.52,59.440877609827645
2021-05-26,4195.99,4191.59,4202.61,4184.11,53.90100671140932
2021-05-27,4200.88,4201.94,4213.38,4197.78,51.685228604923815
